Date,Close
9/12/2000,"1,481.99"
9/13/2000,"1,484.91"
9/14/2000,"1,480.87"
9/15/2000,"1,465.81"
9/18/2000,"1,444.51"
9/19/2000,"1,459.90"
9/20/2000,"1,451.34"
9/21/2000,"1,449.05"
9/22/2000,"1,448.72"
9/25/2000,"1,439.03"
9/26/2000,"1,427.21"
9/27/2000,"1,426.57"
9/28/2000,"1,458.29"
9/29/2000,"1,436.51"
10/2/2000,"1,436.23"
10/3/2000,"1,426.46"
10/4/2000,"1,434.32"
10/5/2000,"1,436.28"
10/6/2000,"1,408.99"
10/9/2000,"1,402.03"
10/10/2000,"1,387.02"
10/11/2000,"1,364.59"
10/12/2000,"1,329.78"
10/13/2000,"1,374.17"
10/16/2000,"1,374.62"
10/17/2000,"1,349.97"
10/18/2000,"1,342.13"
10/19/2000,"1,388.76"
10/20/2000,"1,396.93"
10/23/2000,"1,395.78"
10/24/2000,"1,398.13"
10/25/2000,"1,364.90"
10/26/2000,"1,364.44"
10/27/2000,"1,379.58"
10/30/2000,"1,398.66"
10/31/2000,"1,429.40"
11/1/2000,"1,421.22"
11/2/2000,"1,428.32"
11/3/2000,"1,426.69"
11/6/2000,"1,432.19"
11/7/2000,"1,431.87"
11/8/2000,"1,409.28"
11/9/2000,"1,400.14"
11/10/2000,"1,365.98"
11/13/2000,"1,351.26"
11/14/2000,"1,382.95"
11/15/2000,"1,389.81"
11/16/2000,"1,372.32"
11/17/2000,"1,367.72"
11/20/2000,"1,342.62"
11/21/2000,"1,347.35"
11/22/2000,"1,322.36"
11/24/2000,"1,341.77"
11/27/2000,"1,348.97"
11/28/2000,"1,336.09"
11/29/2000,"1,341.91"
11/30/2000,"1,314.95"
12/1/2000,"1,315.23"
12/4/2000,"1,324.97"
12/5/2000,"1,376.54"
12/6/2000,"1,351.46"
12/7/2000,"1,343.55"
12/8/2000,"1,369.89"
12/11/2000,"1,380.20"
12/12/2000,"1,371.18"
12/13/2000,"1,359.99"
12/14/2000,"1,340.93"
12/15/2000,"1,312.15"
12/18/2000,"1,322.74"
12/19/2000,"1,305.60"
12/20/2000,"1,264.74"
12/21/2000,"1,274.86"
12/22/2000,"1,305.97"
12/26/2000,"1,315.19"
12/27/2000,"1,328.92"
12/28/2000,"1,334.22"
12/29/2000,"1,320.28"
1/2/2001,"1,283.27"
1/3/2001,"1,347.56"
1/4/2001,"1,333.34"
1/5/2001,"1,298.35"
1/8/2001,"1,295.86"
1/9/2001,"1,300.80"
1/10/2001,"1,313.27"
1/11/2001,"1,326.82"
1/12/2001,"1,318.32"
1/16/2001,"1,326.65"
1/17/2001,"1,329.47"
1/18/2001,"1,347.97"
1/19/2001,"1,342.54"
1/22/2001,"1,342.90"
1/23/2001,"1,360.40"
1/24/2001,"1,364.30"
1/25/2001,"1,357.51"
1/26/2001,"1,354.95"
1/29/2001,"1,364.17"
1/30/2001,"1,373.73"
1/31/2001,"1,366.01"
2/1/2001,"1,373.47"
2/2/2001,"1,349.47"
2/5/2001,"1,354.31"
2/6/2001,"1,352.26"
2/7/2001,"1,340.89"
2/8/2001,"1,332.53"
2/9/2001,"1,314.76"
2/12/2001,"1,330.31"
2/13/2001,"1,318.80"
2/14/2001,"1,315.92"
2/15/2001,"1,326.61"
2/16/2001,"1,301.53"
